,OrderDate,ShippedDate,CustomerCountry,CustomerCity,CustomerRegion,ProductName,UnitPrice,Quantity,Discount,CategoryName,SupplierCountry,SupplierRegion,TotalPrice
0,2016-07-04,2016-07-16,France,Reims,Western Europe,Queso Cabrales,14.0,12,0.0,Dairy Products,Spain,Southern Europe,168.0
1,2016-07-04,2016-07-16,France,Reims,Western Europe,Singaporean Hokkien Fried Mee,9.8,10,0.0,Grains/Cereals,Singapore,South-East Asia,98.0
2,2016-07-04,2016-07-16,France,Reims,Western Europe,Mozzarella di Giovanni,34.8,5,0.0,Dairy Products,Italy,Southern Europe,174.0
3,2016-07-05,2016-07-10,Germany,Münster,Western Europe,Tofu,18.6,9,0.0,Produce,Japan,Eastern Asia,167.4
4,2016-07-05,2016-07-10,Germany,Münster,Western Europe,Manjimup Dried Apples,42.4,40,0.0,Produce,Australia,NSW,1696.0
5,2016-07-08,2016-07-12,Brazil,Rio de Janeiro,South America,Jack's New England Clam Chowder,7.7,10,0.0,Seafood,USA,North America,77.0
6,2016-07-08,2016-07-12,Brazil,Rio de Janeiro,South America,Manjimup Dried Apples,42.4,35,0.15,Produce,Australia,NSW,1261.4
7,2016-07-08,2016-07-12,Brazil,Rio de Janeiro,South America,Louisiana Fiery Hot Pepper Sauce,16.8,15,0.15,Condiments,USA,North America,214.2
9,2016-07-08,2016-07-15,France,Lyon,Western Europe,Ravioli Angelo,15.6,15,0.05,Grains/Cereals,Italy,Southern Europe,222.3
10,2016-07-08,2016-07-15,France,Lyon,Western Europe,Louisiana Fiery Hot Pepper Sauce,16.8,20,0.0,Condiments,USA,North America,336.0
11,2016-07-09,2016-07-11,Belgium,Charleroi,Western Europe,Sir Rodney's Marmalade,64.8,40,0.05,Confections,UK,British Isles,2462.4
12,2016-07-09,2016-07-11,Belgium,Charleroi,Western Europe,Geitost,2.0,25,0.05,Dairy Products,Norway,Scandinavia,47.5
13,2016-07-09,2016-07-11,Belgium,Charleroi,Western Europe,Camembert Pierrot,27.2,40,0.0,Dairy Products,France,Western Europe,1088.0
14,2016-07-10,2016-07-16,Brazil,Rio de Janeiro,South America,Gorgonzola Telino,10.0,20,0.0,Dairy Products,Italy,Southern Europe,200.0
15,2016-07-10,2016-07-16,Brazil,Rio de Janeiro,South America,Chartreuse verte,14.4,42,0.0,Beverages,France,Western Europe,604.8000000000001
16,2016-07-10,2016-07-16,Brazil,Rio de Janeiro,South America,Maxilaku,16.0,40,0.0,Confections,Finland,Scandinavia,640.0
17,2016-07-11,2016-07-23,Switzerland,Bern,Western Europe,Guaraná Fantástica,3.6,15,0.15,Beverages,Brazil,South America,45.9
18,2016-07-11,2016-07-23,Switzerland,Bern,Western Europe,Pâté chinois,19.2,21,0.15,Meat/Poultry,Canada,North America,342.71999999999997
19,2016-07-11,2016-07-23,Switzerland,Bern,Western Europe,Longlife Tofu,8.0,21,0.0,Produce,Japan,Eastern Asia,168.0
20,2016-07-12,2016-07-15,Switzerland,Genève,Western Europe,Chang,15.2,20,0.0,Beverages,UK,British Isles,304.0
21,2016-07-12,2016-07-15,Switzerland,Genève,Western Europe,Pavlova,13.9,35,0.0,Confections,Australia,Victoria,486.5
22,2016-07-12,2016-07-15,Switzerland,Genève,Western Europe,Inlagd Sill,15.2,25,0.0,Seafood,Sweden,Northern Europe,380.0
23,2016-07-12,2016-07-15,Switzerland,Genève,Western Europe,Raclette Courdavault,44.0,30,0.0,Dairy Products,France,Western Europe,1320.0
24,2016-07-15,2016-07-17,Brazil,Resende,South America,Perth Pasties,26.2,15,0.0,Meat/Poultry,Australia,NSW,393.0
25,2016-07-15,2016-07-17,Brazil,Resende,South America,Original Frankfurter grüne Soße,10.4,12,0.0,Condiments,Germany,Western Europe,124.80000000000001
26,2016-07-16,2016-07-22,Venezuela,San Cristóbal,South America,Schoggi Schokolade,35.1,25,0.0,Confections,Germany,Western Europe,877.5
27,2016-07-16,2016-07-22,Venezuela,San Cristóbal,South America,Chartreuse verte,14.4,6,0.0,Beverages,France,Western Europe,86.4
28,2016-07-16,2016-07-22,Venezuela,San Cristóbal,South America,Original Frankfurter grüne Soße,10.4,15,0.0,Condiments,Germany,Western Europe,156.0
29,2016-07-17,2016-07-23,Austria,Graz,Western Europe,Chang,15.2,50,0.2,Beverages,UK,British Isles,608.0
30,2016-07-17,2016-07-23,Austria,Graz,Western Europe,Chef Anton's Gumbo Mix,17.0,65,0.2,Condiments,USA,North America,884.0
31,2016-07-17,2016-07-23,Austria,Graz,Western Europe,Mascarpone Fabioli,25.6,6,0.2,Dairy Products,Italy,Southern Europe,122.88000000000002
32,2016-07-18,2016-07-25,Mexico,México D.F.,Central America,Sir Rodney's Scones,8.0,10,0.0,Confections,UK,British Isles,80.0
33,2016-07-18,2016-07-25,Mexico,México D.F.,Central America,Gravad lax,20.8,1,0.0,Seafood,Sweden,Northern Europe,20.8
34,2016-07-19,2016-07-29,Germany,Köln,Western Europe,Jack's New England Clam Chowder,7.7,16,0.25,Seafood,USA,North America,92.4
35,2016-07-19,2016-07-29,Germany,Köln,Western Europe,Ravioli Angelo,15.6,50,0.0,Grains/Cereals,Italy,Southern Europe,780.0
36,2016-07-19,2016-07-29,Germany,Köln,Western Europe,Tarte au sucre,39.4,15,0.25,Confections,Canada,North America,443.25
37,2016-07-19,2016-07-29,Germany,Köln,Western Europe,Outback Lager,12.0,21,0.25,Beverages,Australia,Victoria,189.0
38,2016-07-19,2016-07-30,Brazil,Rio de Janeiro,South America,Sir Rodney's Scones,8.0,20,0.0,Confections,UK,British Isles,160.0
39,2016-07-19,2016-07-30,Brazil,Rio de Janeiro,South America,Steeleye Stout,14.4,20,0.0,Beverages,USA,North America,288.0
40,2016-07-22,2016-07-25,USA,Albuquerque,North America,Chef Anton's Gumbo Mix,17.0,12,0.2,Condiments,USA,North America,163.2
41,2016-07-22,2016-07-25,USA,Albuquerque,North America,Uncle Bob's Organic Dried Pears,24.0,15,0.0,Produce,USA,North America,360.0
42,2016-07-22,2016-07-25,USA,Albuquerque,North America,Gnocchi di nonna Alice,30.4,2,0.0,Grains/Cereals,Italy,Southern Europe,60.8
43,2016-07-23,2016-07-31,Austria,Graz,Western Europe,Pavlova,13.9,60,0.25,Confections,Australia,Victoria,625.5
44,2016-07-23,2016-07-31,Austria,Graz,Western Europe,Guaraná Fantástica,3.6,28,0.0,Beverages,Brazil,South America,100.8
45,2016-07-23,2016-07-31,Austria,Graz,Western Europe,Nord-Ost Matjeshering,20.7,60,0.25,Seafood,Germany,Western Europe,931.5
46,2016-07-23,2016-07-31,Austria,Graz,Western Europe,Longlife Tofu,8.0,36,0.25,Produce,Japan,Eastern Asia,216.0
47,2016-07-24,2016-08-23,Sweden,Bräcke,Northern Europe,Chang,15.2,35,0.0,Beverages,UK,British Isles,532.0
48,2016-07-24,2016-08-23,Sweden,Bräcke,Northern Europe,Jack's New England Clam Chowder,7.7,25,0.15,Seafood,USA,North America,163.625
49,2016-07-25,2016-08-12,France,Strasbourg,Western Europe,Alice Mutton,31.2,30,0.0,Meat/Poultry,Australia,Victoria,936.0
50,2016-07-25,2016-08-12,France,Strasbourg,Western Europe,Outback Lager,12.0,20,0.0,Beverages,Australia,Victoria,240.0
51,2016-07-26,2016-07-31,Finland,Oulu,Scandinavia,Queso Manchego La Pastora,30.4,12,0.05,Dairy Products,Spain,Southern Europe,346.55999999999995
52,2016-07-29,2016-08-06,Germany,München,Western Europe,Boston Crab Meat,14.7,50,0.0,Seafood,USA,North America,735.0
53,2016-07-29,2016-08-06,Germany,München,Western Europe,Raclette Courdavault,44.0,70,0.15,Dairy Products,France,Western Europe,2618.0
54,2016-07-29,2016-08-06,Germany,München,Western Europe,Lakkalikööri,14.4,15,0.15,Beverages,Finland,Scandinavia,183.6
55,2016-07-30,2016-08-02,Venezuela,Caracas,South America,Thüringer Rostbratwurst,99.0,10,0.0,Meat/Poultry,Germany,Western Europe,990.0
56,2016-07-30,2016-08-02,Venezuela,Caracas,South America,Mozzarella di Giovanni,27.8,4,0.0,Dairy Products,Italy,Southern Europe,111.2
57,2016-07-31,2016-08-09,USA,Seattle,North America,Geitost,2.0,60,0.05,Dairy Products,Norway,Scandinavia,114.0
58,2016-07-31,2016-08-09,USA,Seattle,North America,Mozzarella di Giovanni,27.8,20,0.05,Dairy Products,Italy,Southern Europe,528.2
59,2016-08-01,2016-08-02,Finland,Oulu,Scandinavia,Inlagd Sill,15.2,30,0.0,Seafood,Sweden,Northern Europe,456.0
60,2016-08-01,2016-08-02,Finland,Oulu,Scandinavia,Ipoh Coffee,36.8,25,0.0,Beverages,Singapore,South-East Asia,919.9999999999999
61,2016-08-01,2016-08-30,USA,Lander,North America,Geitost,2.0,24,0.0,Dairy Products,Norway,Scandinavia,48.0
62,2016-08-02,2016-08-06,USA,Albuquerque,North America,Sir Rodney's Marmalade,64.8,6,0.0,Confections,UK,British Isles,388.79999999999995
63,2016-08-02,2016-08-06,USA,Albuquerque,North America,Gorgonzola Telino,10.0,40,0.0,Dairy Products,Italy,Southern Europe,400.0
64,2016-08-02,2016-08-06,USA,Albuquerque,North America,Mozzarella di Giovanni,27.8,24,0.0,Dairy Products,Italy,Southern Europe,667.2
65,2016-08-05,2016-08-12,Germany,Cunewalde,Western Europe,Ikura,24.8,24,0.05,Seafood,Japan,Eastern Asia,565.44
66,2016-08-05,2016-08-12,Germany,Cunewalde,Western Europe,Gorgonzola Telino,10.0,15,0.05,Dairy Products,Italy,Southern Europe,142.5
67,2016-08-05,2016-08-12,Germany,Cunewalde,Western Europe,Geitost,2.0,20,0.0,Dairy Products,Norway,Scandinavia,40.0
68,2016-08-05,2016-08-12,Germany,Cunewalde,Western Europe,Boston Crab Meat,14.7,60,0.05,Seafood,USA,North America,837.9
69,2016-08-05,2016-08-12,Germany,Cunewalde,Western Europe,Lakkalikööri,14.4,33,0.05,Beverages,Finland,Scandinavia,451.44
70,2016-08-06,2016-08-16,France,Reims,Western Europe,Flotemysost,17.2,20,0.0,Dairy Products,Norway,Scandinavia,344.0
71,2016-08-06,2016-08-16,France,Reims,Western Europe,Mozzarella di Giovanni,27.8,7,0.0,Dairy Products,Italy,Southern Europe,194.6
72,2016-08-07,2016-08-09,Italy,Bergamo,Southern Europe,Guaraná Fantástica,3.6,12,0.05,Beverages,Brazil,South America,41.040000000000006
73,2016-08-07,2016-08-09,Italy,Bergamo,Southern Europe,Raclette Courdavault,44.0,6,0.05,Dairy Products,France,Western Europe,250.8
74,2016-08-08,2016-08-14,Mexico,México D.F.,Central America,Ikura,24.8,15,0.0,Seafood,Japan,Eastern Asia,372.0
75,2016-08-08,2016-08-14,Mexico,México D.F.,Central America,Konbu,4.8,10,0.0,Seafood,Japan,Eastern Asia,48.0
76,2016-08-09,2016-08-13,Germany,Leipzig,Western Europe,Rössle Sauerkraut,36.4,20,0.0,Produce,Germany,Western Europe,728.0
77,2016-08-09,2016-08-13,Germany,Leipzig,Western Europe,Tarte au sucre,39.4,12,0.0,Confections,Canada,North America,472.79999999999995
78,2016-08-12,2016-08-16,Sweden,Luleå,Northern Europe,Gula Malacca,15.5,16,0.0,Condiments,Singapore,South-East Asia,248.0
79,2016-08-12,2016-08-16,Sweden,Luleå,Northern Europe,Raclette Courdavault,44.0,15,0.0,Dairy Products,France,Western Europe,660.0
80,2016-08-12,2016-08-16,Sweden,Luleå,Northern Europe,Vegie-spread,35.1,8,0.0,Condiments,Australia,Victoria,280.8
81,2016-08-12,2016-08-16,Sweden,Luleå,Northern Europe,Röd Kaviar,12.0,25,0.0,Seafood,Sweden,Northern Europe,300.0
82,2016-08-13,2016-08-16,Germany,Frankfurt a.M.,Western Europe,Alice Mutton,31.2,15,0.25,Meat/Poultry,Australia,Victoria,351.0
83,2016-08-14,2016-09-12,Sweden,Luleå,Northern Europe,Guaraná Fantástica,3.6,12,0.0,Beverages,Brazil,South America,43.2
84,2016-08-14,2016-09-12,Sweden,Luleå,Northern Europe,Pâté chinois,19.2,20,0.0,Meat/Poultry,Canada,North America,384.0
85,2016-08-14,2016-09-12,Sweden,Luleå,Northern Europe,Rhönbräu Klosterbier,6.2,30,0.0,Beverages,Germany,Western Europe,186.0
86,2016-08-14,2016-08-21,Spain,Madrid,Southern Europe,Teatime Chocolate Biscuits,7.3,1,0.0,Confections,UK,British Isles,7.3
87,2016-08-14,2016-08-21,Spain,Madrid,Southern Europe,Guaraná Fantástica,3.6,6,0.0,Beverages,Brazil,South America,21.6
88,2016-08-14,2016-08-21,Spain,Madrid,Southern Europe,Steeleye Stout,14.4,4,0.0,Beverages,USA,North America,57.6
89,2016-08-15,2016-08-21,Spain,Madrid,Southern Europe,Nord-Ost Matjeshering,20.7,6,0.0,Seafood,Germany,Western Europe,124.19999999999999
90,2016-08-15,2016-08-21,Spain,Madrid,Southern Europe,Ravioli Angelo,15.6,2,0.0,Grains/Cereals,Italy,Southern Europe,31.2
91,2016-08-16,2016-08-23,Venezuela,Barquisimeto,South America,Genen Shouyu,12.4,20,0.0,Condiments,Japan,Eastern Asia,248.0
92,2016-08-16,2016-08-23,Venezuela,Barquisimeto,South America,Teatime Chocolate Biscuits,7.3,18,0.0,Confections,UK,British Isles,131.4
93,2016-08-16,2016-08-23,Venezuela,Barquisimeto,South America,Camembert Pierrot,27.2,35,0.0,Dairy Products,France,Western Europe,952.0
94,2016-08-16,2016-08-23,Venezuela,Barquisimeto,South America,Mozzarella di Giovanni,27.8,3,0.0,Dairy Products,Italy,Southern Europe,83.4
95,2016-08-19,2016-08-27,Germany,Frankfurt a.M.,Western Europe,Schoggi Schokolade,35.1,15,0.25,Confections,Germany,Western Europe,394.875
96,2016-08-19,2016-08-27,Germany,Frankfurt a.M.,Western Europe,Gula Malacca,15.5,21,0.0,Condiments,Singapore,South-East Asia,325.5
97,2016-08-19,2016-08-27,Germany,Frankfurt a.M.,Western Europe,Camembert Pierrot,27.2,20,0.25,Dairy Products,France,Western Europe,408.0
98,2016-08-19,2016-08-27,Germany,Frankfurt a.M.,Western Europe,Laughing Lumberjack Lager,11.2,5,0.25,Beverages,USA,North America,42.0
99,2016-08-20,2016-08-26,Germany,Cunewalde,Western Europe,Chai,14.4,45,0.2,Beverages,UK,British Isles,518.4
100,2016-08-20,2016-08-26,Germany,Cunewalde,Western Europe,Boston Crab Meat,14.7,40,0.2,Seafood,USA,North America,470.4
101,2016-08-20,2016-08-26,Germany,Cunewalde,Western Europe,Perth Pasties,26.2,36,0.2,Meat/Poultry,Australia,NSW,754.56
102,2016-08-21,2016-08-30,Germany,Cunewalde,Western Europe,Steeleye Stout,14.4,100,0.0,Beverages,USA,North America,1440.0
103,2016-08-21,2016-08-30,Germany,Cunewalde,Western Europe,Tarte au sucre,39.4,40,0.0,Confections,Canada,North America,1576.0
104,2016-08-22,2016-08-28,Brazil,Rio de Janeiro,South America,Pavlova,13.9,40,0.15,Confections,Australia,Victoria,472.6
105,2016-08-22,2016-08-28,Brazil,Rio de Janeiro,South America,Sasquatch Ale,11.2,20,0.0,Beverages,USA,North America,224.0
106,2016-08-22,2016-08-28,Brazil,Rio de Janeiro,South America,Spegesild,9.6,15,0.15,Seafood,Denmark,Northern Europe,122.4
