,number,value,datetime_start,datetime_complete,duration,params_affinity,params_agglo_metric,params_agglo_n,params_alpha,params_assign_lables,params_clusterer,params_coef0,params_degree,params_eigen_solver,params_epsilon,params_hdbscan_algo,params_hdbscan_leaf_size,params_hdbscan_method,params_hdbscan_metric,params_hdbscan_n,params_kmeans_algo,params_kmeans_init,params_kmeans_n,params_kmeans_n_init,params_kmeans_tol,params_linkage,params_max_eps,params_min_dist,params_min_samples,params_n_oversamples,params_normalizer,params_optics_algo,params_optics_leaf_size,params_optics_method,params_optics_metric,params_optics_n,params_p,params_pca_n,params_pca_tol,params_perplexity,params_reducer,params_solver,params_spec_cluster,params_spec_gamma,params_spec_n,params_spec_n_init,params_spec_n_neighbors,params_tightness,params_tsne_init,params_tsne_lr,params_tsne_method,params_tsne_metric,params_tsne_n,params_umap_metric,params_umap_n,params_umap_n_neighbors,params_whiten,params_xi,state
0,0,0.2899346947669983,2024-05-01 05:17:52.468736,2024-05-01 05:22:06.097024,0 days 00:04:13.628288,,l2,20.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,,,,,,,,,,,49.85802795277106,t-SNE,,,,,,,15.36619341044535,random,35.0,exact,cityblock,19.0,,,,,,COMPLETE
1,1,-1.0,2024-05-01 05:22:06.098012,2024-05-01 05:22:06.193722,0 days 00:00:00.095710,precomputed_nearest_neighbors,,,,discretize,Spectral,25.459161370522487,1.0,arpack,,,,,,,,,,,,,,,,5.0,none,,,,,,,7.0,3.2307320079604454,,PCA,randomized,16.0,1.1,17.0,4.0,212.0,,,,,,,,,,True,,COMPLETE
2,2,0.14198309001605958,2024-05-01 05:22:06.195842,2024-05-01 05:22:06.418323,0 days 00:00:00.222481,,,,,,KMeans,,,,,,,,,,elkan,k-means++,18.0,,1.0,,,,,3.0,LU,,,,,,,15.0,0.5316259468799545,,PCA,full,,,,,,,,,,,,,,,True,,COMPLETE
3,3,-0.12100561708211899,2024-05-01 05:22:06.419390,2024-05-01 05:22:26.354219,0 days 00:00:19.934829,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,single,,0.7000000000000001,,,,,,,,,,,,,UMAP,,,,,,,,,,,,,manhattan,16.0,502.0,,,COMPLETE
4,4,-1.0,2024-05-01 05:22:26.355020,2024-05-01 05:22:36.806519,0 days 00:00:10.451499,,,,,,OPTICS,,,,,,,,,,,,,,,,100.0,,,,,kd_tree,70.0,xi,minkowski,267.0,,,,21.24661209294233,t-SNE,,,,,,,18.463917729620213,random,60.0,barnes_hut,braycurtis,2.0,,,,,0.9,COMPLETE
5,5,0.18789170682430267,2024-05-01 05:22:36.807113,2024-05-01 05:25:41.961640,0 days 00:03:05.154527,,,,,,KMeans,,,,,,,,,,elkan,random,4.0,1.0,0.1,,,,,,,,,,,,,,,19.18652957923264,t-SNE,,,,,,,9.047801697316586,random,25.0,exact,manhattan,8.0,,,,,,COMPLETE
6,6,-1.0,2024-05-01 05:25:41.962707,2024-05-01 05:25:43.561057,0 days 00:00:01.598350,,,,,,OPTICS,,,,,,,,,,,,,,,,10000.0,,,17.0,LU,auto,15.0,dbscan,l1,142.0,,8.0,6.68497582149159,,PCA,arpack,,,,,,,,,,,,,,,False,0.8500000000000001,COMPLETE
7,7,0.6613149581016449,2024-05-01 05:25:43.561621,2024-05-01 05:25:43.732368,0 days 00:00:00.170747,,l1,9.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,LU,,,,,,,11.0,6.009256376657975,,PCA,arpack,,,,,,,,,,,,,,,False,,COMPLETE
8,8,0.5215746174916116,2024-05-01 05:25:43.733050,2024-05-01 05:25:43.882777,0 days 00:00:00.149727,,,,,,KMeans,,,,,,,,,,elkan,k-means++,16.0,,1e-05,,,,,7.0,auto,,,,,,,11.0,3.61267329096329,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
9,9,0.492695689201355,2024-05-01 05:25:43.883523,2024-05-01 05:25:55.261800,0 days 00:00:11.378277,,euclidean,11.0,,,Agglomerative,,,,,,,,,,,,,,,average,,0.4,,,,,,,,,,,,,UMAP,,,,,,,,,,,,,euclidean,19.0,502.0,,,COMPLETE
