,number,value,params_affinity,params_agglo_metric,params_agglo_n,params_alpha,params_assign_lables,params_clusterer,params_coef0,params_degree,params_eigen_solver,params_epsilon,params_hdbscan_algo,params_hdbscan_leaf_size,params_hdbscan_method,params_hdbscan_metric,params_hdbscan_n,params_kmeans_algo,params_kmeans_init,params_kmeans_n,params_kmeans_n_init,params_kmeans_tol,params_linkage,params_max_eps,params_min_dist,params_min_samples,params_n_oversamples,params_normalizer,params_optics_algo,params_optics_leaf_size,params_optics_method,params_optics_metric,params_optics_n,params_p,params_pca_n,params_pca_tol,params_perplexity,params_reducer,params_solver,params_spec_cluster,params_spec_gamma,params_spec_n,params_spec_n_init,params_spec_n_neighbors,params_tightness,params_tsne_init,params_tsne_lr,params_tsne_method,params_tsne_metric,params_tsne_n,params_umap_metric,params_umap_n,params_umap_n_neighbors,params_whiten,params_xi,state,n_clusters
899,899,0.964443639113474,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,2.0,none,,,,,,,2.0,9.831028429691528,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
901,901,0.964443639113474,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,2.0,none,,,,,,,2.0,9.771535580655216,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
907,907,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,2.0,none,,,,,,,2.0,9.804667363538664,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
908,908,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,2.0,none,,,,,,,2.0,9.808320125666215,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
911,911,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.803103328429383,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
913,913,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.83394433918247,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
914,914,0.964443639113474,,l2,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.81410410367648,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
916,916,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.995059332062477,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
918,918,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.810224491852711,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
920,920,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.82496341798926,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
926,926,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.701262789801316,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
931,931,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.9898044441594,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
937,937,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.672132585283356,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
941,941,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.980202931341092,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
943,943,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.999603795457965,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
948,948,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.970595093497591,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
954,954,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.779217951014331,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
958,958,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.766033729781435,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
961,961,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.499527626957304,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
965,965,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.726508654033736,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
967,967,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.534299604451435,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
969,969,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.484714280166424,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
974,974,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.65573906935527,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
977,977,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.67567213229024,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
982,982,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.757058547088524,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
994,994,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.48626045147037,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
996,996,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,1.2704464928479495,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
997,997,0.964443639113474,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,2.0,none,,,,,,,2.0,9.803021230861663,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
527,527,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.274647385327498,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
528,528,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.268106188919356,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
532,532,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.601744880335014,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
539,539,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.237167562622565,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
540,540,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.826260288642716,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
543,543,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.96894242473448,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
545,545,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.96251097446314,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
548,548,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.972694178728478,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
552,552,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.986144328680684,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
554,554,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.984376394757748,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
557,557,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.690567364585718,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
559,559,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.72451544801864,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
564,564,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.723509331427367,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
566,566,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.67704178461918,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
570,570,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.771079035171583,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
683,683,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.803812885338116,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
690,690,0.9532357462135064,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,1.0,none,,,,,,,3.0,9.846263873197575,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE,2.0
